Team, Player, Attacking, Offensive Awareness, Finishing, Kicking Power, Weak Foot Usage, Weak Foot Acc., LWF, SS, CF, RWF, LMF, DMF, CMF, AMF, RMF, LB, CB, RB, GK, Position, Age, Stronger Foot, Height, Weight, Dribbling, Ball Control, Tight Possession, Balance, Defending, Heading, Jump, Defensive Awareness, Ball Winning, Aggression, Passing, Low Pass, Lofted Pass, Place Kicking, Curl, Physicality, Speed, Acceleration, Physical Contact, Stamina, Form, Injury Resistance, Goalkeeping, GK Awareness, GK Catching, GK Clearing, GK Reflexes, GK Reach
akhmat-grozny, l-sadulaev, 58.0, 57.0, 51.0, 65.0, 2.0, 2.0, 61.0, 61.0, 57.0, 61.0, 63.0, 64.0, 63.0, 61.0, 63.0, 65.0, 63.0, 65.0, 40.0, 3.0, 19.0, 1.0, 178.0, 65.0, 66.0, 67.0, 63.0, 61.0, 69.0, 70.0, 65.0, 69.0, 73.0, 70.0, 64.0, 73.0, 66.0, 55.0, 60.0, 71.0, 73.0, 73.0, 64.0, 75.0, 4.0, 2.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0
akhmat-grozny, a-shvets, 65.0, 61.0, 60.0, 75.0, 3.0, 3.0, 71.0, 71.0, 68.0, 71.0, 71.0, 75.0, 73.0, 71.0, 71.0, 76.0, 75.0, 76.0, 40.0, 3.0, 26.0, 1.0, 190.0, 76.0, 69.0, 72.0, 64.0, 66.0, 76.0, 80.0, 74.0, 73.0, 73.0, 79.0, 69.0, 78.0, 75.0, 60.0, 64.0, 76.0, 76.0, 69.0, 79.0, 81.0, 5.0, 2.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0
akhmat-grozny, a-batsuev, 62.0, 61.0, 59.0, 67.0, 2.0, 2.0, 64.0, 64.0, 61.0, 64.0, 64.0, 65.0, 64.0, 63.0, 64.0, 64.0, 57.0, 64.0, 40.0, 3.0, 22.0, -1.0, 169.0, 63.0, 66.0, 69.0, 74.0, 73.0, 59.0, 54.0, 57.0, 54.0, 62.0, 68.0, 70.0, 71.0, 63.0, 75.0, 72.0, 69.0, 70.0, 74.0, 60.0, 73.0, 4.0, 3.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0
akhmat-grozny, m-gashchenkov, 68.0, 65.0, 61.0, 77.0, 2.0, 3.0, 69.0, 69.0, 66.0, 69.0, 69.0, 70.0, 69.0, 68.0, 69.0, 70.0, 64.0, 70.0, 40.0, 4.0, 27.0, 1.0, 174.0, 67.0, 72.0, 75.0, 69.0, 70.0, 66.0, 61.0, 62.0, 69.0, 71.0, 67.0, 69.0, 75.0, 67.0, 67.0, 67.0, 72.0, 73.0, 75.0, 64.0, 75.0, 4.0, 2.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0
akhmat-grozny, d-szymanski, 69.0, 67.0, 63.0, 77.0, 2.0, 3.0, 74.0, 73.0, 72.0, 74.0, 73.0, 78.0, 75.0, 73.0, 73.0, 78.0, 76.0, 78.0, 40.0, 4.0, 24.0, 1.0, 181.0, 70.0, 71.0, 76.0, 68.0, 67.0, 78.0, 73.0, 77.0, 76.0, 81.0, 81.0, 73.0, 77.0, 75.0, 67.0, 71.0, 76.0, 75.0, 71.0, 75.0, 81.0, 5.0, 2.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0
akhmat-grozny, mael, 71.0, 67.0, 66.0, 81.0, 2.0, 3.0, 76.0, 76.0, 72.0, 76.0, 76.0, 78.0, 76.0, 76.0, 76.0, 76.0, 68.0, 76.0, 40.0, 4.0, 25.0, 1.0, 169.0, 68.0, 75.0, 80.0, 76.0, 75.0, 67.0, 62.0, 73.0, 60.0, 67.0, 74.0, 79.0, 80.0, 77.0, 79.0, 78.0, 73.0, 73.0, 77.0, 62.0, 80.0, 5.0, 2.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0
akhmat-grozny, d-glushakov, 75.0, 72.0, 71.0, 83.0, 2.0, 3.0, 77.0, 77.0, 75.0, 77.0, 75.0, 79.0, 77.0, 77.0, 75.0, 78.0, 73.0, 78.0, 40.0, 4.0, 32.0, 1.0, 182.0, 82.0, 75.0, 79.0, 72.0, 72.0, 70.0, 68.0, 73.0, 71.0, 69.0, 67.0, 75.0, 82.0, 75.0, 73.0, 71.0, 75.0, 73.0, 71.0, 76.0, 79.0, 5.0, 3.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0
akhmat-grozny, r-gigolaev, 67.0, 65.0, 62.0, 75.0, 2.0, 2.0, 73.0, 73.0, 69.0, 73.0, 73.0, 74.0, 73.0, 71.0, 73.0, 76.0, 70.0, 76.0, 40.0, 4.0, 29.0, -1.0, 176.0, 70.0, 72.0, 73.0, 70.0, 73.0, 69.0, 65.0, 64.0, 70.0, 73.0, 75.0, 72.0, 71.0, 72.0, 71.0, 72.0, 77.0, 81.0, 78.0, 68.0, 79.0, 4.0, 3.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0
akhmat-grozny, e-kharin, 64.0, 65.0, 55.0, 73.0, 2.0, 2.0, 69.0, 69.0, 64.0, 69.0, 69.0, 69.0, 69.0, 68.0, 69.0, 67.0, 58.0, 67.0, 40.0, 4.0, 24.0, -1.0, 183.0, 72.0, 77.0, 76.0, 73.0, 67.0, 58.0, 61.0, 60.0, 55.0, 51.0, 62.0, 69.0, 73.0, 75.0, 60.0, 69.0, 72.0, 80.0, 75.0, 61.0, 71.0, 4.0, 2.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0
akhmat-grozny, ravanelli, 72.0, 70.0, 66.0, 81.0, 2.0, 3.0, 77.0, 76.0, 73.0, 77.0, 76.0, 78.0, 76.0, 76.0, 76.0, 76.0, 67.0, 76.0, 40.0, 5.0, 22.0, 1.0, 181.0, 76.0, 82.0, 78.0, 78.0, 80.0, 65.0, 60.0, 63.0, 61.0, 69.0, 73.0, 77.0, 76.0, 76.0, 78.0, 78.0, 73.0, 77.0, 76.0, 64.0, 74.0, 5.0, 2.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0
akhmat-grozny, o-ivanov, 73.0, 72.0, 66.0, 80.0, 2.0, 3.0, 76.0, 75.0, 74.0, 76.0, 74.0, 78.0, 76.0, 75.0, 74.0, 76.0, 71.0, 76.0, 40.0, 5.0, 33.0, 1.0, 192.0, 87.0, 79.0, 80.0, 74.0, 74.0, 68.0, 71.0, 71.0, 60.0, 67.0, 73.0, 76.0, 75.0, 75.0, 77.0, 75.0, 74.0, 71.0, 67.0, 81.0, 76.0, 6.0, 2.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0
akhmat-grozny, b-berisha, 72.0, 74.0, 67.0, 74.0, 2.0, 3.0, 73.0, 73.0, 70.0, 73.0, 72.0, 69.0, 69.0, 71.0, 72.0, 71.0, 60.0, 71.0, 40.0, 6.0, 28.0, 1.0, 165.0, 66.0, 81.0, 74.0, 77.0, 78.0, 58.0, 60.0, 62.0, 55.0, 50.0, 61.0, 66.0, 68.0, 65.0, 65.0, 65.0, 77.0, 83.0, 86.0, 62.0, 75.0, 4.0, 3.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0
akhmat-grozny, m-mitrishev, 74.0, 75.0, 70.0, 76.0, 1.0, 3.0, 72.0, 72.0, 69.0, 72.0, 71.0, 67.0, 68.0, 70.0, 71.0, 67.0, 57.0, 67.0, 40.0, 6.0, 27.0, 1.0, 177.0, 61.0, 79.0, 73.0, 75.0, 75.0, 53.0, 70.0, 57.0, 42.0, 42.0, 55.0, 67.0, 68.0, 67.0, 69.0, 65.0, 76.0, 81.0, 84.0, 62.0, 75.0, 4.0, 3.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0
akhmat-grozny, k-michalak, 64.0, 64.0, 61.0, 67.0, 2.0, 2.0, 68.0, 68.0, 64.0, 68.0, 69.0, 67.0, 66.0, 66.0, 69.0, 67.0, 59.0, 67.0, 40.0, 6.0, 22.0, 1.0, 174.0, 61.0, 74.0, 72.0, 71.0, 75.0, 59.0, 61.0, 69.0, 49.0, 54.0, 60.0, 66.0, 66.0, 61.0, 66.0, 72.0, 74.0, 80.0, 82.0, 63.0, 72.0, 5.0, 3.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0
akhmat-grozny, k-kadyrov, 66.0, 70.0, 66.0, 62.0, 2.0, 2.0, 64.0, 64.0, 62.0, 64.0, 63.0, 63.0, 63.0, 63.0, 63.0, 61.0, 52.0, 61.0, 40.0, 6.0, 25.0, 1.0, 164.0, 56.0, 71.0, 72.0, 70.0, 70.0, 54.0, 57.0, 61.0, 55.0, 44.0, 53.0, 68.0, 70.0, 69.0, 65.0, 67.0, 68.0, 72.0, 76.0, 57.0, 67.0, 3.0, 2.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0
akhmat-grozny, o-roshi, 70.0, 72.0, 62.0, 77.0, 2.0, 3.0, 74.0, 74.0, 71.0, 74.0, 74.0, 74.0, 72.0, 72.0, 74.0, 74.0, 67.0, 74.0, 40.0, 6.0, 28.0, 1.0, 187.0, 78.0, 75.0, 74.0, 71.0, 73.0, 62.0, 71.0, 70.0, 55.0, 52.0, 61.0, 74.0, 73.0, 67.0, 77.0, 77.0, 80.0, 88.0, 79.0, 77.0, 75.0, 4.0, 3.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0
akhmat-grozny, a-mbengue, 76.0, 76.0, 72.0, 79.0, 2.0, 3.0, 71.0, 71.0, 71.0, 71.0, 70.0, 68.0, 67.0, 68.0, 70.0, 69.0, 64.0, 69.0, 40.0, 6.0, 27.0, 1.0, 187.0, 78.0, 73.0, 72.0, 70.0, 62.0, 60.0, 82.0, 76.0, 43.0, 41.0, 57.0, 63.0, 63.0, 61.0, 65.0, 62.0, 80.0, 83.0, 77.0, 80.0, 80.0, 4.0, 2.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0
akhmat-grozny, a-ponce, 76.0, 77.0, 70.0, 80.0, 3.0, 4.0, 74.0, 73.0, 73.0, 74.0, 72.0, 70.0, 69.0, 71.0, 72.0, 71.0, 65.0, 71.0, 40.0, 6.0, 23.0, 1.0, 182.0, 80.0, 79.0, 75.0, 73.0, 64.0, 62.0, 69.0, 68.0, 52.0, 49.0, 73.0, 65.0, 69.0, 58.0, 72.0, 62.0, 77.0, 82.0, 77.0, 74.0, 75.0, 4.0, 2.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0
akhmat-grozny, a-kadyrov, 71.0, 72.0, 71.0, 71.0, 2.0, 2.0, 65.0, 65.0, 64.0, 65.0, 63.0, 63.0, 62.0, 63.0, 63.0, 62.0, 56.0, 62.0, 40.0, 6.0, 23.0, 1.0, 178.0, 67.0, 69.0, 67.0, 60.0, 70.0, 55.0, 72.0, 64.0, 42.0, 41.0, 55.0, 64.0, 68.0, 63.0, 59.0, 64.0, 74.0, 77.0, 73.0, 71.0, 73.0, 3.0, 3.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0
arsenal-tula, a-nigmatullin, 52.0, 42.0, 40.0, 74.0, 2.0, 2.0, 51.0, 51.0, 47.0, 51.0, 51.0, 57.0, 54.0, 51.0, 51.0, 56.0, 57.0, 56.0, 74.0, 1.0, 28.0, 1.0, 194.0, 92.0, 60.0, 58.0, 46.0, 63.0, 61.0, 70.0, 73.0, 65.0, 51.0, 47.0, 61.0, 68.0, 74.0, 55.0, 45.0, 64.0, 57.0, 57.0, 84.0, 56.0, 5.0, 3.0, 81.0, 83.0, 81.0, 80.0, 77.0, 82.0
arsenal-tula, m-levashov, 49.0, 40.0, 40.0, 67.0, 2.0, 2.0, 50.0, 50.0, 46.0, 50.0, 51.0, 55.0, 52.0, 49.0, 51.0, 56.0, 58.0, 56.0, 73.0, 1.0, 28.0, 1.0, 193.0, 86.0, 51.0, 55.0, 48.0, 58.0, 61.0, 74.0, 75.0, 65.0, 49.0, 42.0, 57.0, 63.0, 65.0, 55.0, 45.0, 68.0, 64.0, 61.0, 84.0, 64.0, 5.0, 2.0, 79.0, 82.0, 75.0, 81.0, 84.0, 75.0
arsenal-tula, e-shamov, 48.0, 40.0, 40.0, 64.0, 2.0, 2.0, 46.0, 45.0, 42.0, 46.0, 45.0, 49.0, 47.0, 44.0, 45.0, 51.0, 53.0, 51.0, 60.0, 1.0, 25.0, -1.0, 190.0, 82.0, 45.0, 52.0, 46.0, 57.0, 58.0, 63.0, 72.0, 59.0, 51.0, 47.0, 52.0, 54.0, 58.0, 51.0, 45.0, 64.0, 57.0, 55.0, 80.0, 63.0, 4.0, 3.0, 67.0, 70.0, 64.0, 67.0, 65.0, 68.0
arsenal-tula, a-dovbnya, 58.0, 54.0, 51.0, 70.0, 2.0, 2.0, 57.0, 56.0, 54.0, 57.0, 57.0, 59.0, 56.0, 54.0, 57.0, 63.0, 64.0, 63.0, 40.0, 2.0, 23.0, 1.0, 189.0, 83.0, 53.0, 61.0, 62.0, 57.0, 74.0, 77.0, 68.0, 72.0, 71.0, 81.0, 59.0, 58.0, 63.0, 54.0, 59.0, 71.0, 72.0, 66.0, 78.0, 66.0, 5.0, 2.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0
arsenal-tula, m-belyaev, 59.0, 53.0, 55.0, 69.0, 2.0, 2.0, 65.0, 65.0, 62.0, 65.0, 65.0, 70.0, 67.0, 64.0, 65.0, 72.0, 76.0, 72.0, 40.0, 2.0, 28.0, 1.0, 188.0, 86.0, 59.0, 66.0, 63.0, 66.0, 81.0, 82.0, 80.0, 83.0, 80.0, 80.0, 62.0, 72.0, 65.0, 56.0, 55.0, 76.0, 71.0, 68.0, 83.0, 82.0, 5.0, 3.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0
arsenal-tula, g-grigalava, 58.0, 53.0, 49.0, 71.0, 2.0, 2.0, 63.0, 62.0, 59.0, 63.0, 63.0, 67.0, 65.0, 61.0, 63.0, 69.0, 72.0, 69.0, 40.0, 2.0, 30.0, -1.0, 190.0, 85.0, 64.0, 67.0, 62.0, 58.0, 77.0, 82.0, 73.0, 80.0, 75.0, 75.0, 61.0, 69.0, 64.0, 49.0, 61.0, 75.0, 69.0, 66.0, 86.0, 80.0, 4.0, 2.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0
arsenal-tula, b-kone, 60.0, 55.0, 54.0, 70.0, 2.0, 2.0, 64.0, 64.0, 61.0, 64.0, 65.0, 68.0, 65.0, 63.0, 65.0, 71.0, 73.0, 71.0, 40.0, 2.0, 31.0, 1.0, 188.0, 79.0, 58.0, 66.0, 64.0, 66.0, 78.0, 81.0, 82.0, 81.0, 75.0, 72.0, 61.0, 70.0, 63.0, 55.0, 55.0, 76.0, 73.0, 73.0, 79.0, 77.0, 4.0, 3.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0
arsenal-tula, a-denisov, 57.0, 52.0, 56.0, 62.0, 2.0, 2.0, 58.0, 58.0, 55.0, 58.0, 57.0, 61.0, 58.0, 57.0, 57.0, 63.0, 64.0, 63.0, 40.0, 2.0, 30.0, 1.0, 186.0, 83.0, 58.0, 64.0, 58.0, 64.0, 72.0, 72.0, 74.0, 74.0, 71.0, 68.0, 60.0, 69.0, 62.0, 51.0, 57.0, 71.0, 66.0, 69.0, 77.0, 70.0, 4.0, 3.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0
arsenal-tula, a-krikunenko, 54.0, 48.0, 53.0, 62.0, 2.0, 2.0, 53.0, 53.0, 51.0, 53.0, 53.0, 57.0, 54.0, 52.0, 53.0, 59.0, 62.0, 59.0, 40.0, 2.0, 21.0, 1.0, 191.0, 80.0, 53.0, 61.0, 58.0, 58.0, 72.0, 76.0, 68.0, 72.0, 70.0, 72.0, 57.0, 62.0, 57.0, 54.0, 54.0, 69.0, 65.0, 64.0, 79.0, 68.0, 4.0, 3.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0
arsenal-tula, m-valadzko, 66.0, 65.0, 62.0, 72.0, 2.0, 3.0, 68.0, 68.0, 65.0, 68.0, 68.0, 70.0, 68.0, 68.0, 68.0, 70.0, 66.0, 70.0, 40.0, 2.0, 27.0, -1.0, 180.0, 77.0, 68.0, 71.0, 70.0, 64.0, 69.0, 68.0, 68.0, 68.0, 70.0, 71.0, 69.0, 73.0, 72.0, 64.0, 66.0, 73.0, 73.0, 75.0, 70.0, 72.0, 4.0, 3.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0
arsenal-tula, victor-alvarez, 62.0, 63.0, 63.0, 61.0, 1.0, 2.0, 72.0, 72.0, 68.0, 72.0, 73.0, 75.0, 73.0, 72.0, 73.0, 75.0, 70.0, 75.0, 40.0, 2.0, 26.0, -1.0, 180.0, 74.0, 75.0, 71.0, 72.0, 68.0, 70.0, 70.0, 75.0, 72.0, 65.0, 66.0, 75.0, 77.0, 76.0, 71.0, 75.0, 76.0, 76.0, 78.0, 69.0, 81.0, 4.0, 2.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0
arsenal-tula, m-aleksandrov, 65.0, 64.0, 60.0, 70.0, 4.0, 4.0, 69.0, 69.0, 66.0, 69.0, 69.0, 72.0, 69.0, 68.0, 69.0, 72.0, 69.0, 72.0, 40.0, 2.0, 30.0, -1.0, 179.0, 77.0, 66.0, 70.0, 68.0, 70.0, 71.0, 71.0, 75.0, 72.0, 70.0, 67.0, 71.0, 73.0, 72.0, 65.0, 72.0, 73.0, 75.0, 76.0, 72.0, 70.0, 3.0, 2.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0
arsenal-tula, r-bauer, 61.0, 55.0, 53.0, 75.0, 1.0, 3.0, 68.0, 67.0, 62.0, 68.0, 70.0, 69.0, 66.0, 64.0, 70.0, 72.0, 68.0, 72.0, 40.0, 2.0, 24.0, 1.0, 183.0, 76.0, 72.0, 63.0, 66.0, 72.0, 70.0, 67.0, 73.0, 67.0, 70.0, 75.0, 63.0, 62.0, 67.0, 52.0, 69.0, 80.0, 85.0, 83.0, 71.0, 82.0, 4.0, 1.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0
arsenal-tula, k-kombarov, 63.0, 60.0, 62.0, 67.0, 2.0, 4.0, 69.0, 69.0, 66.0, 69.0, 69.0, 73.0, 71.0, 69.0, 69.0, 72.0, 69.0, 72.0, 40.0, 2.0, 32.0, 1.0, 179.0, 68.0, 68.0, 71.0, 67.0, 71.0, 70.0, 68.0, 75.0, 67.0, 71.0, 67.0, 74.0, 75.0, 75.0, 70.0, 74.0, 74.0, 73.0, 71.0, 74.0, 78.0, 5.0, 2.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0
arsenal-tula, a-khagush, 59.0, 60.0, 53.0, 64.0, 1.0, 1.0, 64.0, 64.0, 60.0, 64.0, 64.0, 67.0, 64.0, 63.0, 64.0, 68.0, 66.0, 68.0, 40.0, 2.0, 33.0, 1.0, 179.0, 77.0, 65.0, 67.0, 65.0, 66.0, 70.0, 67.0, 70.0, 73.0, 71.0, 70.0, 65.0, 68.0, 64.0, 63.0, 66.0, 73.0, 70.0, 74.0, 72.0, 76.0, 4.0, 3.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0
arsenal-tula, g-kostadinov, 67.0, 66.0, 63.0, 73.0, 3.0, 3.0, 71.0, 70.0, 69.0, 71.0, 70.0, 73.0, 71.0, 69.0, 70.0, 75.0, 74.0, 75.0, 40.0, 3.0, 29.0, 1.0, 185.0, 75.0, 64.0, 72.0, 68.0, 67.0, 77.0, 73.0, 73.0, 75.0, 84.0, 80.0, 68.0, 73.0, 71.0, 62.0, 64.0, 74.0, 74.0, 70.0, 76.0, 77.0, 5.0, 3.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0
arsenal-tula, k-berkhamov, 65.0, 59.0, 60.0, 75.0, 2.0, 2.0, 67.0, 67.0, 65.0, 67.0, 66.0, 71.0, 68.0, 66.0, 66.0, 71.0, 71.0, 71.0, 40.0, 4.0, 31.0, -1.0, 181.0, 80.0, 65.0, 71.0, 68.0, 65.0, 74.0, 70.0, 76.0, 76.0, 76.0, 70.0, 69.0, 70.0, 65.0, 74.0, 68.0, 72.0, 69.0, 71.0, 75.0, 74.0, 4.0, 3.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0
arsenal-tula, g-causic, 70.0, 63.0, 70.0, 78.0, 2.0, 2.0, 73.0, 73.0, 71.0, 73.0, 72.0, 75.0, 73.0, 73.0, 72.0, 74.0, 70.0, 74.0, 40.0, 4.0, 27.0, 1.0, 180.0, 75.0, 69.0, 73.0, 72.0, 74.0, 68.0, 76.0, 71.0, 67.0, 61.0, 66.0, 72.0, 77.0, 74.0, 70.0, 67.0, 76.0, 73.0, 75.0, 74.0, 80.0, 6.0, 2.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0
arsenal-tula, k-kangwa, 61.0, 59.0, 56.0, 68.0, 3.0, 2.0, 68.0, 68.0, 63.0, 68.0, 69.0, 67.0, 67.0, 66.0, 69.0, 69.0, 60.0, 69.0, 40.0, 4.0, 20.0, 1.0, 165.0, 64.0, 73.0, 75.0, 77.0, 78.0, 63.0, 52.0, 73.0, 55.0, 62.0, 71.0, 64.0, 70.0, 63.0, 59.0, 65.0, 73.0, 79.0, 83.0, 60.0, 70.0, 4.0, 2.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0
